Deelnemer ID,Nummer,Spotify ID,Artiest,Stemming begin,Energie begin,Gevoel begin,Aan het studeren,Studietaak,Muziek tijdens studeren,Moeilijkheid studie,Reden focus,Stemming later,Energie later,Gevoel later,track_id,track_genre,energy,valence,tempo,danceability,popularity,Stemmingsverschil,Energieverschil,_bronrij
3065,Lose You,spotify:track:7MIdbo0RDBjAhtfuqBJ0o1,Eric Nam,,,,,,,,,,,,,,,,,,,,,82
3065,Moment,spotify:track:2Uc6Yk4C4LdA8ZFn3ajLNJ,Lee Chang Min,0.0,0.0,Bored,Yes,Searching for information,Yes,1.0,1.0,,,,,,,,,,,,,83
3070,The Evil That Lurks,spotify:episode:4xpRGu3F06DoLRENboSm1Y,,2.0,2.0,Curious,Yes,Planning / organising work,Yes,1.0,0.0,2.0,2.0,Happy,,,,,,,,0.0,0.0,84
3070,Ain't No Mountain High Enough,spotify:track:7tqhbajSfrz2F7E1Z75ASX,Marvin Gaye,1.0,0.0,Calm,Yes,Memorising information,Yes,2.0,1.0,0.0,0.0,Stressed,7tqhbajSfrz2F7E1Z75ASX,funk,0.6,0.8,129.991,0.663,82.0,-1.0,0.0,85
3070,Ain't No Mountain High Enough,spotify:track:7tqhbajSfrz2F7E1Z75ASX,Marvin Gaye,1.0,0.0,Calm,Yes,Memorising information,Yes,2.0,1.0,0.0,0.0,Stressed,7tqhbajSfrz2F7E1Z75ASX,soul,0.6,0.8,129.991,0.663,82.0,-1.0,0.0,85
3070,"What a Long, Strange Trip It's Been - Part 2",spotify:episode:6NqmRhu2YkGDV9TwQSYQjI,,1.0,0.0,Calm,No,,,,,1.0,0.0,Calm,,,,,,,,0.0,0.0,86
3070,"River Deep, Mountain High",spotify:track:6w8tGzTSdZKkKG4IWh1n6h,Glee Cast,1.0,-1.0,Content,No,,,,,1.0,1.0,Happy,6w8tGzTSdZKkKG4IWh1n6h,club,0.855,0.497,167.538,0.325,52.0,0.0,2.0,87
3070,"Die Dreigroschenoper: Akt I, Die Moritat von Mackie Messer (""Und der Haifisch, der hat ZÃ¤hne"")",spotify:track:29ZvXEFLfZAuZ69lZtP4Pu,Kurt Weill,2.0,-1.0,Happy,No,,,,,1.0,0.0,Motivated,,,,,,,,-1.0,1.0,88
3070,"Die Dreigroschenoper: Akt I, Kanonensong (""John war darunter und Jim war dabei"")",spotify:track:2DCbpn3RvvYjl7rYPioBxy,Kurt Weill,1.0,-2.0,Calm,No,,,,,1.0,-1.0,Neutral,,,,,,,,0.0,1.0,89
3070,137F,spotify:episode:2epJzN8HO74hApN46tDIcr,,2.0,1.0,Excited,No,,,,,,,,,,,,,,,,,90
3070,Murder in the Mountains,spotify:episode:2YdCDwIV0Z4ssnwZd4VX8h,,0.0,0.0,Neutral,No,,,,,0.0,1.0,Stressed,,,,,,,,0.0,1.0,91
3070,Youâ€™ve Got Mail,spotify:episode:1fl56jMtjIfvNJRvGJPqPQ,,,,,,,,,,,,,,,,,,,,,,92
